reviews,sentiments,predictions,correctness
"I currently own a black leather backpack handbag, but I wanted one for summer use.  For some reason the beautiful light brown reminds me of leather sandals and breezy dresses.  It is a bit smaller than my current purse, but in summer I carry less, just my wallet, cellphone, small address book, pen and a small paperback book.  The leather smells so good.  The strap is ample and the handle is convenient for carrying the backpack.  I wish the zippered compartment's lining was a light color, but at least it opens up to give you exposure to locate items that sometimes fall to the bottom of the purse. The hidden compartment mentioned in the description is very small and doesn't have much room for a lot of items.  The quality of the item is very good and worth the price, although the $18.40 for shipping was a bit more than I wanted to pay.  All in all a good deal",1,1,1
"I bought these for warmth. While they feel good, my feet are still a little cool when it gets below 30 degrees.  Also, after first gentle hand wash, they got a little ""nappy""",1,1,1
"I got about 6 pairs of Gold Toe socks.  They're the most comfortable socks I've worn in a long time.  You don't even feel like you have socks on.  They fit well and are made well.  If your hesitating, no need.  I'm not sorry I bought them",1,1,1
The Porthole Brief is a desk away from the office.  It has space for everything needed and is beautifully crafted,1,1,1
"The collar stays are great!  They came in a convenient little container, and now I'm not searching all over the laundry room floor for the collar stays that fell out of my husband's dress shirts.  The different lengths were helpful because he has different style shirts, and the collar stays came very quickly",1,1,1
"I love these! So comfortable, price great, looks good, very happy!  If you are looking for a great walking shoe this is it.  Will buy again in the future & would highly recommend.",1,1,1
"I bought two in different colors and love them. They are soft but sturdy and practical. They are easy to wash, with plenty of fabric to cozy up around your legs and a slit side to make movement easy. The vee neck is flattering. You can't go wrong with the excellent price, either",1,1,1
"Oh My. It enhanced my rolls instead of hide them. It did not help having the bones sticking out above my butt, which was very noticeable. Not worth the money charged for it.",0,0,1
"This bra is very comfortable for both day or night.  Many wrap bras bind when you push the fabric down or to the side, but this bra has enough stretch to be comfortable.  This is probably a bra best for those with smaller chests",1,1,1
"I thought that wearing a silk robe was more an affectation than anything else.  Happily, I was wrong.  This robe is well-made, comfortable, and it really looks nice.",1,1,1
This tie comes from Harry Potter and the Prisoner of Azkaban the movie and lets just that it looks really good on me! The stripes are Gold and Red. It feels soooo smooth!! I recommend this to any Potter Fan,1,1,1
"Shoes are cute. I expected a plusher velvet, but they are nice anyways.",1,1,1
"Great tote for the price.  Strong, attractive and exactly as described.  Thanks",1,1,1
This item is beautiful.  The company is great.  I received many compliments on these shoes.,1,1,1
"Solid materials, and great quality. It's very hard to get winkles on these, and comes with folds like on slacks. If you're going for the slighty sharp preppy look, these are for you.",1,1,1
These are the best slippers he has ever owned.  They are well made and are a great deal.  The uppers are actually sewn onto the sole which means you will a get miles out of these slippers.,1,1,1
"Columbia sport sandals for kids are great! We've bought them three years in a row now for our kids.

They hold up well, are comfy, and the colors are great.  Easy for the little ones to get on and off make getting in and out a breeze.  

They're well constructed, but the dirt starts to show on the nylon parts after a while. They won't really wear out before your kids feet grow to the next size",1,1,1
This is the only Haynes T-shirt that does not bunch at the back of the neck. It is light and drapes well. But it is too light for printing.,0,0,1
This is a wonderful bra. Yes it does run in a larger size but if you get your fit right its the best bra you could own. I have a very large chest and i have never found as good of support as this bra gives me. I would diffently buy this bra again and again and again,1,1,1
"Hey,

I decided to review some things I didn't buy off Amazon, but I have owned for sometime that are really great items: the kind I would buy again for sure if they were lost. I would say lost or broken, but Jansport has lifetime warranties! If anything happens to your backpack, all you have to do is mail it to Jansport with a note of the problem, they will fix it for FREE and send it back to you. They will even send you a card while they have it telling you it misses you and will be back soon. Overall, these are such great products, you just have to get a Jansport if you're thinking of a backpack.

Also, I am in a review writing competition with a friend of mine and if this review is helpful, which I hope it really is, I would love to have your yes vote!

With Care, 
Sa",1,1,1
"Shoes are fairly expensive, but incredibly comfortable and durable. I bought 2 pair of these about 3 years ago and have been wearing each pair 2-3 days/wk since then and they still are very comfortable with minimal upper or treadwear.  The shoe sizes 1/2 size small - I normally wear a US 9 1/2 and got these in a size 9.  I definitely plan to get another pair or 2 when these finally wear out.",1,1,1
"A great piece for the costume.  I added some braids, beads, and dreadlocks to make more identical, but the base is good.  Scarf color is lighter and more shiny than in the pics, but was dulled easily with light spray and magic marker graphics.  I couldn't have been Capt. Jack without it",1,1,1
My daughter absolutely loved the wallet. I personally did not realize it was a very popular item with the girls,1,1,1
"This item appears to be a short mini skirt in the picture, but it runs kinda long.  I wouldnt reccomend going down a size though, it runs small around the waist.  I do like the skirt though, its a really cute plaid and nicely styled",1,1,1
"This is a very sexy outfit.  My one complaint is that the ""3 piece set"" is actually two pieces; the top being one while the skirt is attached to the g-string.  This doesn't take too much away from the outfit, but it would have been nice to have been given a more accurate description of the product before buying it",1,0,0
I buy these tights for both of my daughters and have found them to be very durable,1,1,1
"Excellent quality briefs and my husband really liked them.  They are a simple style, but look very classy as far as briefs go.  I would highly recommend these",1,1,1
"I am in great shape.  However, I cannot get over that so many men's underwear products have waist bands that constrict and exasperarate blood flow and muscle tension.  Obviously they are made in China where the average waist is about 25 inches.  

The idea of ""Medium"" as marketed is ridiculous by healthy American standards.  My body fat is low.  I am not profoundly muscular bound. As is common in men of my age, lower back problems are not unusual. I have a 32"" waist.  Is that not ""Medium"" sized? 

I think we simply need to get rid of the elastic waist band altogether.  One size fits all doesn't work and it is dangerous to those many of us that fight our lower back problems.  

The draw string is fine.  It allows flexibility.  So what if your pants fall down?  It seems to be the fashion, anyway.  Just give us the option of pulling the shorts back up instead of pinching nerves with a static elastic waist band that causes ridiculous lower back problems because of unnecessary, uncontrollable constrictions.  

Also, these boxers don't hold up well to any kind of washing.  They looked like crap after the first time I washed them.

I wish I could get a refund because I won't wear them again.  My life partner told me they looked like ""old men's"" underwear. That is sad and embarrassing because I agree they looked like crap after one cold wash and light dry.

I am not a mean hearted kind of guy.  So, I am going to shut my mouth now and not do business with you again.",0,0,1
Product ordered came in on time and in very good condition. They fit fine,1,1,1
"I bought these boots just in time before the crazy weather started.  Let me tell you,these boots are great!!!!!!  I read all the reviews and bought them a half size bigger and now they're a little big, regardless, I love them and another thing, they keep my feet very warm and cozy",1,1,1
Good quality lining in the front.  I wish there is lining in the back too.  Delivery is fast,1,1,1
"My husband bought me a pair of these Minnetonka Pile Lined Indoor/Outdoor Slippers so that I would stop stealing his ""outdoor slippers"" everytime I needed to take the dogs out (smile) - and these slippers are AMAZING!!!  The insides are so soft that it's like being in ""foot Heaven"", and they are extremely well made!  Plus, although it says that these are ""Men's slippers"", the style is such that it could easily be worn by both men & women alike.

Overall, I would highly recommend these slippers to anyone who is looking for a slipper that it's both well-made & super comfortable.  You really can't go wrong with these Minnetonka's!",1,1,1
"This is a pretty bra, very sleek.  It looks great under sweaters and tees.  I like that the straps stay in place and there is no show through",1,1,1
"I purchased the Black Wallabee Boots for my son for Christmas.  He had a pair of the tan ones, but they don't sell them anywhere close to my home.  He's in college in another town.  I found them on Amazon, less expensive than what he paid for them in the store.  The black ones are sharp!  He loves them, and said they are very comfortable.  I will keep my eye on any Wallabee Boot sales . . when he likes a shoe, it's a big deal.
Thank you.
Sand",1,1,1
"I ordered these a few days ago and I must say that I love these. I wanted the teal color but they were not available in my size-7 1/2 med. Although the heels are about 4 inches high, they are comfy. You can't expect to walk miles in these shoes but if you take regular breaks, then, yes. It will add pizzazz to any dress and will make your legs look longer. I looked so much taller than my 5.4"" that I love to look at myself. I received many complments too.

The only thing I didn't like is that Amazon displays some shoes that are not in stock at all. Why not wait for the stock and then display??? Atleast we get to know that they are available !!!!!",1,1,1
I ordered these based on the picture---a high cut brief. These are not the ones they sent me and now I have to pay to return them! Rip off!!! Zero stars,0,0,1
I would not buy this product again.  It hurts my heeles badly because it is so narrow at that end,0,0,1
"This is a great nursing bra! I have no trouble opening and closing the bra with one hand and it is very comfortable. It is very soft, but still provides good support. The washing instructions say to hand wash in cold, but I have washed it on the delicate cycle about 6 times and it looks great. I am so happy with my purchase, I am buying another one right now",1,1,1
The moment I tryed it on the fit was great I've never come a cross a cami that fits so well and comfortable,1,1,1
"Thin, cheap fabric barely represents flannel. Additionally the waist has a button on the hip..Who puts a button for a pair of PJ pants on the hip? I returned them immediatly. Not worth the price at al",0,0,1
"I am a larger guy and needed a light windbreaker-type jacket with a hood that would also keep the rain off my head (that's Seattle for ya).  Since none of the local stores had these in stock I searched Amazon and found this one.  The jacket is of excellent quality and is better than I expected it to be.  It breaks the wind extremely well, and if you really need to bundle up there are velcro strips on the sleeve openings, draw strings around the waist and snaps that go over the zipper.  All in all this is an excellent wind breaker jacket.  It won't keep you warm in very cold weather, but it is one of the best light jackets I've ever owned.  

When I placed my order on November 16, 2006 I chose 'standard shipping' and was promised a shipping date of Nov. 20 to Nov. 27.  I received the item on Nov. 27.  I can't say for sure whether I would have received it sooner had Thanksgiving day not fallen within that week, so I won't really complain about the receiving date.  

My COMPLAINT with the order, however, is this:  From the time I placed my order to the time I received the jacket, the advertised sale price DROPPED by 25 percent, $10.00.  I ordered the jacket and paid $39.95 but by the time I got it, the price was $29.99.  This didn't seem right to me.  I've written to Turfer for a resolution but have not yet received one.  If this is resolved favorably, I'll edit this review.  

Except for the price dispute, I highly recommend this jacket if you need a light windbreaker type jacket.  It will serve you very well.  Just make sure that you get the right price!! 

EDIT:  Still no response from Turfer on the price change, but Amazon's stated policy is that prices and availability may change without notice, so I guess it's buyer beware.  I notice that as of today the price on this item is still $29.99.  I've been using it for 2 months now and I must say it's a fantastic lightweight jacket.  I want to buy another one but I'm afraid the second I order it the price will drop to $19.99!!!",1,1,1
"I have worn this particular style of Birks for over fifteen years now, and except for an occasional dress-up occasion, they are all I wear if the weather is warm. They mold to your feet, wear like iron, and your local shoe repair shop can give you a new set of soles for around $30.  This is the lowest price I have found except for a German site on ebay. Love 'em",1,1,1
"I haven't had a chance to wear yet, but this is a great wedge for women who cant wear super high heels.  Great support and your feet look super sexy",1,1,1
"I thought this was just going to be another wallet, and it is, but it's not. Once I received it I took off the tags and put it to use. Now I am in the military and stationed in Italy so in my wallet I have Dollars and Euro. Normal American dollars fit just fine into my new wallet however the Euro sticks out just a bit but not enough to be a problem. Also I have uniform standards that I must adhere to so I like not having a wallet bulging out in my back pocket and it does not leave a wallet mark on my uniforms. So I must say that all in all I was very happy with my purchase and have no plans to go back to a normal ""back pocket"" wallet or any other brand any times soon",1,1,1
"these socks are packaged nicely, great for babies 0-9 months. colors available are good for any type of outfits",1,1,1
Very cute!  Excellent price.  Comparible shipping prices and fast delivery!  Would buy from them again!,1,1,1
I bought this for my Granddaughter that we are expecting in March.  I couldn't believe the great quality it is for the price.  Can't wait to see her in it.,1,1,1
after all these years buying this wrangler product this by far has been the cheaper price that i've ran across. i love it.,1,1,1
"I have a black one. Besides looking cool and the nice belt buckle design, this key chain is made with good materials. The Italian leather smells great, the snaplink is really strong, yet easy to open when necessary. It cut down in the number of times I went searching for my keys. The belt buckle is actually functioning and it locks 2 key rings. This means that you can fairly quickly remove (or add) key rings. That is low tech at its best!

I would recommend it as a gift for men",1,1,1
"This is a sharp pair of demi-boots. The wedge heel is just the right height to wear all day. I think they run a half size large, so the size 7 ( my regular size) slipped a bit at the heel. Wearing a heavy pair of socks with them helped immensely. I really like this pair and will wear them often",1,1,1
"It's not just the brand and certainly not just the name. Under Armour just uses better material, designed and sewn better than their competition. I've tried shirts of similiar material from dozens of manufacturers. Some I still own, others are long since thrown away. None are as comfortable or fit as well as this one. Simply better than the rest. 5 Stars",1,1,1
"You can kind of see through them, kind of not. The skirt is like a nifty mini, the G-string is not uncomfortable. This outfit looks good on my girlfriends, looks good on me and it'll look good on you too",1,0,0
"I ordered this purse to go with a brown and gold outfit for a wedding.  I received at least a half-dozen compliments on the bag, since it was such an unusual color for an evening bag.  People were amazed at the quality for the price.  I look forward to further shopping with this seller.  You won't be disappointed!  M. Lovejo",1,1,1
"The cotton fabric of these bodysuits is really soft and cool, and didn't shrink when washed. The only thing I would comment on is the sizing; the 0-3 months and 3-6 months bodysuits we ordered were almost exactly identical sizes and it would be hard to tell the two sizes apart without actually checking the label. 

-reviewed by the wif",1,1,1
I was very pleased with this product.  It was nicer then I thought it would be and it came packaged very nicely,1,1,1
"They are sturdy, fashionable, and run true-to-size.  The price was very reasonable, and I'm very pleased with my purchas",1,1,1
"I bought Silver & Black to wear at weddings. These wraps are great and very elegant. They're light and soft, just as described. They also make great scarves",1,1,1
I just got mine. I am very happy with it. I ordered another one right now too!I cannot believe the price.I am very happy with my purchase,1,1,1
This backpack/daypack is a great value.  Super efficient pocket layout.  Beware that the straps are a little stiff when brand new and will take a few hikes to soften up.  I plan to by a few more for wife and kids,1,1,1
"I saw these shoes at Macy's yesterday for $36. They only had the red. IMO, the red is a bright, clown red. It's not a bad red, it's just a true red with no subtlety. I almost considered getting them, but I reminded myself that I was on the hunt for a black patent, pointy toe skimmer. I am *so* glad Macy's did not have the black because I got them thru Amazon for $22.

I believe the shoe fits true to size. I am a 7.5M, period. In pointy shoes, I sometimes go for an 8 or avoid pointys altogether. I was going to listen to the reviews here and order an 8, but I tried on the 8 at Macy's and it was too big. I think it was a bit stretched it given that it was the floor model, but I figured even a brand new size 8 would be too big. 

I ordered & recvd a 7.5M. When I recvd the shoes today and put them on they were snug. Not snug in a tight or uncomfortable way. They just fit exactly to my foot. This is a leather upper and not man made. So the patent looks black and shiny! It's not cheap looking at all. The point comes to a nice triangle and isn't exagerrated. Given that they are leather, I expect them to stretch a little to my feet. 

The shoes measures 10.5"" from the point to the middle of the heel. The point to the top of the shoe is 3"" and there is 1"" between my big toe and the point. There is comfortable room to move the toes and because the shoe is leather, it will form a bit to the feet as you wear them. I have experienced that already just walking around the house. The shoe looks low cut on the sides, but my foot stays completely in the shoe when I am walking. I'll be watching to see if I end up with a line/bend across the front of the shoe. By the time that happens -- if it ever does -- I will certainly have gotten my $22 out of them. 

And finally, I am 5'2"" and I tend to avoid pointy toe shoes because it sometimes looks like I am wearing skis. These shoes are great because they elongate my leg and don't create a costume-y look. They look great peeking out of the jeans I have on and I expect them to look good w/the new capri leggings I got the other day. 

Highly recommended!",1,1,1
I had many problems with the Nike shoe- this product saved my feet! I can use my old running shoes and the pouch keeps the sensor safe and secure. I have had no problems with it.,1,1,1
Very happy with the purchase. The pant is exactly what I was looking for! Remarkable comfort,1,1,1
"nice boots... looks great... i love them... the only problem is that the sole wears too fast... and they are not too much confortable.
this boots aren't made for walking as the nancy sinatras' ones...
but as i told you, they have a nice look and you just need to put some inner soles to make them a little softer..",1,1,1
"I love this bag! I purchased the pink/chocolate color and I get alot of compliments on how cute it is. I am in my early 20's and I have a 2 and half year old and this bag can hold what I need for him as well as my things and still not look bulky or overstuffed and at the same time, is very stylish. I really like those trendy baby bags for those young moms, but they are very expensive. This is lightweight, made of cotton, so very easy to clean. I chose standard shipping and it came so quickly. I am very satisfied with my purchase",1,1,1
"I love the look and they are very comfortable on my feet. I got the black and white, and I love them with a pair of capris or long shorts",1,1,1
"I bought some of these - I find they have a large seam on the right side which digs into my skin and is quite uncomfortable.  Other than that they are OK, but because of this I mostly wear these inside out",0,0,1
"Once while traveling, I had a big blister on my heel and needed something that wouldn't rub my heel. I happened to get a pair of Crocs since the strap can be moved forward to look like trim over the front. I was pleasantly surprised by the Crocs - very cushiony soft, like walking on air. Also the material is insulating enough to keep your feet warm yet the air holes ventilate enough that your feet don't get sweaty either. 

I originally got the Crocs for temporary use but now I look forward to slipping into them everyday when I get home. It's wonderful to feel such cushioning on my feet with every step. They've replaced my slippers, mocassins, surf shoes and sandals.",1,1,1
"Better than I expected and shipped very quickly, S&K has great service",1,1,1
"My husband was so pleased with this shoe...the fit, the look and the color was as described.  He could not believe I ordered it on the internet",1,1,1
"Great item, soft and comfortable, but lose support around legs. Stretches out, not a major concern but could be improved",1,1,1
I love these boots! I got one size smaller than my street shoe and they were snug enough to fit perfect. I can fit pants in them or over them and I have not had a problem yet,1,1,1
This bag is much larger than expected.  It is very spacious with two interior zip pockets (one on each side). The bag smells of fabulous genuine leather every time you unzip it.  The handbag came with an authentication card and a dust bag for storage.,1,1,1
"I bought these slides for house slippers based on the other reviews I read.  I will give one caution, you may not like them in the first few weeks.  The first few times I wore them, my feet were really sore after about an hour or two.  I recommend wearing them with socks for a week or so until all the nobbies soften and become more flexible.  After this break-period, you'll be able to wear them any way you like and you'll love how they feel after a long day of wearing shoes",1,1,1
The gazebo is very sturdy and works great in the sun and rain.  Adding the team cover is a great way to show your team pride during tailgate parties!  It takes a bit of practice to set up the unit but I believe that all gazebos have the same problem.,1,1,1
Just what I needed to get me through the very cold spell we had in February.  My dog even (accidentally) chewed on them and there was no damage. ;-) Great product!,1,1,1
I had been searching everywhere for the perfect pair of flip flops and I finally found them! I recieved them in record time and they are awesome! I would absolutely shop with them again. Thank you guys,1,1,1
"This is an excellent little case -- it won't save your Zen if you drop it down the stairs or from a height, but it will cushion and protect it through normal use, especially the screen.  The built in stand is clever, if a little flimsy.  The armband...well, it's functional, but I wouldn't suggest using it for running a marathon; I'd recommend buying a smaller, cheaper MP3 player for running, anyway.
All in all, this case is an excellent buy!  I'd recommend it to everyone who buys a Zen -- it's the case Creative should have included",1,1,1
"These are among the most comfortable thongs that I own.  My previous favorite was ""old navy's"" cotton thongs, but these now take first place!",1,0,0
Nice shirt that arrived quickly and I would not hesitate to do business with this company again,1,1,1
"It's a little on the thin side for snowy or freezing weather, but great in keeping the chill off when you're out and about, or at the game. The blue is actually more of a royal blue than navy blue, but the lettering is well stitched and is the same quality used on MLB baseball caps (also has the MLB logo on back). It folds up easily and can be tucked into a jacket pocket with room to spare. The price is great and makes a great gift",1,1,1
This shoe is cut right underneath the ankle. Everytime you walk the edge of the shoe rubs into your ankle and causes extreme discomfort and blisters.,0,0,1
"i know they're cute bunnies, but the hole to put your foot in is to small to actually put your foot in.  i don't know who designed these things, but they didn't think it through.  i ended up sending mine back, so after tax i paid about $15 for them,  then i shipped them back for another $6,  and i got refunded $9.99.  WTF",0,1,0
